NOME_PRODUTO,COD_PRODUTO
SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    ,1
SUPORTE UNIV. BEDIN BU-25                    ,2
ANTENA 1.70 MT MULTIPONTO CENTURY            ,3
RECEPTOR MIDIA BOX HDTV B3                   ,4
RADIO RECEPTOR 2 FXS RM PFT22AC              ,5
SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750,6
SMARTPHONE LG K9 TV LM-X210BMW INDIGO        ,7
PEN DRIVE SONY R 8GB USMRGR                  ,8
PEN DRIVE SONY R 16GB USMRGR                 ,9
TABLET NB730 MINI MS50G PRATA/PRETO          ,10
TABLET NB731 MINI MS50G DOURADO/BRANCO       ,11
"TELEVISOR SMART 32"" TC32FS500B PANASONIC     ",12
DVD D-15 KARAOKE MONDIAL                     ,13
ANTENA 1 50 MT MULTIPONTO CENTURY            ,14
CAIXA BLUETOOTH BS05B 5W SEMP TCL            ,15
CAIXA AMPLIFICADA CM-09 CONNECT DJ CONTROLLER,16
AUTO RADIO AR-06 PRETO                       ,17
ROTEADOR RE160 300 MBPS NOVO (05)            ,18
CAIXA BLUETOOTH BS16B 16W SEMP TCL           ,19
CARTAO DE MEMORIA 512MB MICRO SD             ,20
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    ,21
TABLET NB732 MINI MS50X PRETO                ,22
TABLET NB733 MINI MS50X AZUL/PRETO           ,23
REPETIDOR RE051 300MPS WPS MULTILASER        ,24
SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRETO    ,25
CAIXA AMPLIFICADA CM-13 BIVOLT BLUETOOTH     ,26
CAIXA DE SOM AMPLIF.TROLLEY 8 POL SP329      ,27
TABLET NB304 M7 3G PLUS QUAD CORE PRETO      ,28
RADIO RECEPTOR 5 FXS RM PF34                 ,29
SMARTPHONE LG K9 TV LM-X210BMW PRETO         ,30
SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    ,31
SMARTPHONE SAMSUNG GAL A10S 32GB AZUL        ,32
PEN DRIVE 8GB PD587 TWIST PRETO              ,33
RADIO RECEPTOR 2 FXS RM PF25 PT              ,34
TABLET NB184 M7S QUAD CORE PRETO             ,35
TABLET NB247 M9-3G QC PRETO                  ,36
"TELEVISOR SMART 50"" 50P8M 4K UHD BLT SEMP TCL",37
PEN DRIVE MC162 2X1 LEITOR USB SD 16GB       ,38
SUPORTE PRETO TV LCD 10 A 55 BR ART SBRP130  ,39
SMARTPHONE SAMSUNG GAL A10  A105 32GB PRETO  ,40
SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    ,41
"TELEVISOR SMART 50"" UHD BT UN50RU7100 SAMSUNG",42
TABLET NB706 MINI MS50L PRETO/GRAFIT         ,43
CELULAR BLU JENNY 2.8 T276 DB PRETO-AZUL     ,44
"TELEVISOR SMART 43"" UN43J5290 SAMSUNG        ",45
SMARTPHONE MOTOROLA MOTO E6 PLAY 32GB CINZA  ,46
SMARTPHONE LG K11 PLUS DB PRETO              ,47
SMARTPHONE SAMSUNG GAL A10  A105 32GB AZUL   ,48
"TELEVISOR SMART 49"" UN49J5200 SAMSUNG        ",49
"TELEVISOR SMART 32"" UN32J4290 SAMSUNG        ",50
CAIXA AMPLIFICADA CM-07 MONDIAL              ,51
TABLET NB720 MINI MS45 4G PRETO              ,52
RADIO AUTOMOTIVO P3336 POP BT 4X25W PT       ,53
SMARTPHONE SAMSUNG GAL A30 A305 64GB PRETO   ,54
RADIO NBX-06 CONECT STAR MONDIAL             ,55
PEN DRIVE MC161 2X1 LEITOR USB SD 8G         ,56
CELULAR INFINITY W201 PRETO                  ,57
SMARTPHONE SAMSUNG GAL A20  A205 32GB PRETO  ,58
CELULAR RIU FLIP 2.4 DB DOURADO              ,59
SMARTPHONE LG K40S LMX430 BMW PRETO          ,60
BOOMBOX BX-19 BIVOLT UP DYNAMIC              ,61
SMARTPHONE MOTOROLA MOTO E6 PLAY 32GB AZUL   ,62
TABLET NB296 M7S LITE 8GB PRETO              ,63
CELULAR RIU-I R200 DB PRETO-VERMELHO         ,64
SMARTPHONE SAMSUNG GAL A30  A305 64GB BRANCO ,65
SMARTPHONE LG K12 MAX PRETO                  ,66
TELEJOGO MOD XP 199                          ,67
SMARTPHONE LG K9 TV LM-X210BMW DOURADO       ,68
"TELEVISOR SMART 32"" PTV32 G50SN LED PHILCO   ",69
CAIXA AMPLIFICADA MCO-07 MULTI CONNECT       ,70
SMARTPHONE SAMSUNG GALAXY J4 PLUS 32GB PRETO ,71
"TELEVISOR SMART 40"" TC40FS600B PANASONIC     ",72
SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRETO    ,73
SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    ,74
PEN DRIVE 32GB PD589 TWIST PRETO             ,75
SMARTPHONE SAMSUNG GAL A70  A705 128GB AZUL  ,76
PEN DRIVE 16GB PD588 TWIST PRETO             ,77
SMARTPHONE SAMSUNG GAL J6 64GB DB VIOLETA    ,78
"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       ",79
SMARTPHONE SAMSUNG GAL A20  A205 32GB VERM   ,80
TABLET NB306 M7 3G PLUS QUAD CORE DOURADA    ,81
SMARTPHONE SAMSUNG GAL J2 PRIME S/ TV 16GB DR,82
CELULAR RIU FLIP 2.4 DB VERMELHO             ,83
SMARTPHONE LG K12 MAX AZUL                   ,84
SMARTPHONE SAMSUNG GAL A30 A305 64GB AZUL    ,85
ANTENA + RECEPTOR SKY PRE PAGO 60CM PT/CZ    ,86
SMARTPHONE BLU STUDIO J1 PRETO               ,87
SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB IN,88
"TELEVISOR SMART 32"" 32S5300 HD BLUET SEMP TCL",89
"TELEVISOR SMART 43"" 43S5300 HD BLUET SEMP TCL",90
SMARTPHONE SAMSUNG GAL A20  A205 32GB AZUL   ,91
PEN DRIVE NANO 16GB PD054 PRETO              ,92
TABLET NB728 MINI MS40G PRETO                ,93
"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     ",94
SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       ,95
SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        ,96
TABLET NB736 MINI MS50G PRETO                ,97
TELEVISOR SMART 32 PTV32N87SA LED PHILCO     ,98
RADIO CJ88 ABRALLK LG                        ,99
SUPORTE PRETO TV LCD 10 A 55 ART.SBRP120     ,100
RADIO RECEPTOR RM-PUSM81AC USB               ,101
"TELEVISOR SMART 55"" P6US ULTRA HD 4K HDR SEMP",102
"TELEVISOR SMART 40"" KDL-40W655D SONY         ",103
TABLET NB710 MS60 PRETO/PRATA MULTILASER     ,104
CELULAR RIU FLIP 2.4 DB AZUL                 ,105
"TELEVISOR SMART 49"" 49SK6200 HD LED 4K SEMP T",106
PEN DRIVE MC163 2X1 LEITOR USB SD 32GB       ,107
SMARTPHONE LG K40S LMX430 BMW AZUL           ,108
"TELEVISOR SMART 50"" 50P65US ULTRA HD 4K      ",109
DVD D-14 GAME STAR II MONDIAL                ,110
CAIXA DE SOM SK-05 VIBE PLUS SPEAKER BIVOLT  ,111
CELULAR BLU JENNY 2.8 T276 DB PRETO-VERMEL   ,112
SMARTPHONE LG K8 PLUS PLATINUM               ,113
RADIO PORTATIL TR04B C/CD/BLUETOOTH SEMP     ,114
CELULAR SEMP GO 1E 2G COM BASE PRETO         ,115
SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB VERM   ,116
"TELEVISOR SMART 55"" 55P8M 4K UHD BLT SEMP TCL",117
SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    ,118
SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       ,119
SMARTPHONE SAMSUNG GAL A30S 64GB PRETO       ,120
SMARTPHONE LG K12 MAX PLATINUM               ,121
SMARTPHONE LG K12 PLUS PRETO                 ,122
SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB VIOL ,123
SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB PT ONIX,124
SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      ,125
SMARTPHONE LG K8 PLUS AZUL                   ,126
SMARTPHONE LG K8 PLUS PRETO                  ,127
SMARTPHONE LG K50S 32GB PRETO                ,128
SMARTPHONE LG K50S 32GB AZUL                 ,129
SMARTPHONE SAMSUNG GAL A51 128GB BRANCO      ,130
BOOMBOX RBM PFS 11AC MOTOBRAS                ,131
SMARTPHONE MOTOROLA MOTO G8 PLUS 64GB CEREJA ,132
RADIO RECEPTOR 7 FXS RM PFT73AC              ,133
TABLET NB316 M7S 16GB QUAD CORE PRETO        ,134
SMARTPHONE SAMSUNG GAL J4 CORE 16GB AZUL     ,135
CELULAR BLU TANK II T193 DB PRETO AZUL       ,136
SMARTPHONE RIU EKO 4.0 DOURADO               ,137
MINI SYSTEM ALL-IN-ONE AL250A 250W SEMP      ,138
BOX LINE OCM 4115 PT ONEAL                   ,139
"TELEVISOR SMART 49"" UN49J5290 SAMSUNG        ",140
SMARTPHONE SAMSUNG GAL A30S 64GB VIOLETA     ,141
ROTEADOR RE057 150MBPS 1 ANT.4PTS.LAN        ,142
SMARTPHONE MOTOROLA MOTO G7 PLAY XT1952-5 DR ,143
"TELEVISOR SMART 49"" 4K KDL-49X705E SONY      ",144
SMARTPHONE SAMSUNG GAL J6 32GB PRATA         ,145
CELULAR BLU TANK II T193 DB PRETO VERMELHO   ,146
"TELEVISOR SMART 48"" KDL-48W655D SONY         ",147
TABLET NB317 M7S 16GB QUAD CORE BRANCO       ,148
"TELEVISOR SMART 43"" PTV43E60SN LED PHILCO    ",149
CELULAR RIU-I R200 DB PRETO-AZUL             ,150
RADIO CJ65 ABRALLK LG                        ,151
BOX LINE OCM 4112 PT ONEAL                   ,152
TABLET NB700 MINI MS55M PRETO                ,153
"TELEVISOR SMART 32"" TC32FS600B PANASONIC     ",154
"TELEVISOR 40"" 40S6500FS HD LED SEMP TCL      ",155
CAIXA AMPLIFICADA CM-11 MULT CONECT PARTY BIV,156
TABLET NB707 MINI MS50L BRANCO/DOURADO       ,157
SMARTPHONE RIU EKO 4.0 PRETO                 ,158
"TELEVISOR SMART 55"" 4K UN55NU7400 SAMSUNG    ",159
SMARTPHONE SAMSUNG GAL A10  A105 32GB VERMELH,160
SMARTPHONE LG K11 PLUS DB DOURADO            ,161
SMARTPHONE MOTOROLA MOTO E6 PLUS 64GB AZ NET ,162
"TELEVISOR 24"" S1300 L1850 HD LED SEMP TCL    ",163
PULSO PT PULSEIRA ACO QZ MO2115AO/3P MORMAII ,164
SMARTPHONE SAMSUNG GAL A50  A505 64GB PRETO  ,165
SMARTPHONE MOTOROLA MOTO G7 PLAY XT1952-5 IND,166
AUTO RADIO MVH-S218BT PIONNER                ,167
PEN DRIVE SONY MINI METALICO USM16MX 16GB    ,168
CELULAR RIU-I R200 DB BRANCO-AZUL            ,169
TABLET NB729 MINI MS40G BRANCO               ,170
CONJ.SC-AKX220LBK PANASONIC                  ,171
CELULAR RIU-I R200 DB PRETO-AMARELO          ,172
SMARTPHONE SAMSUNG GAL A50 A505 128GB PRETO  ,173
CAIXA BLUETOOTH BS12A 12W SEMP TCL           ,174
CAIXA AMPLIFICADA CM-14 MULT CONECT          ,175
SMARTPHONE MOTOROLA MOTO G8 PLUS 64GB AZUL SF,176
"TELEVISOR SMART 49"" S4900FS FULL HD SEMP TCL ",177
"TELEVISOR SMART 43"" S3900FS SEMP TCL         ",178
SMARTPHONE MOTOROLA MOTO ONE DB PRETO        ,179
CARREGADOR VEICULAR USB PTO                  ,180
SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB ONIX ,181
RADIO AUTOMOTIVO P3335 POP 1 4X25WRMS PT     ,182
"TELEVISOR SMART 55"" UHD BT UN55RU7100 SAMSUNG",183
SMARTPHONE SAMSUNG GAL J6 PLUS 32GB VERMELHO ,184
"TELEVISOR SMART 50"" P6US ULTRA HD 4K HDR SEMP",185
SMARTPHONE MOTOROLA MOTO ONE DB BRANCO       ,186
"TELEVISOR SMART 32"" PH32E20DSGWA PHILCO      ",187
HOME THEATER HT-07 MONDIAL                   ,188
SMARTPHONE LG K12 PLUS  AZUL                 ,189
TABLET NB185 M7S QUAD CORE BRANCO            ,190
"TELEVISOR SMART 32"" S3900S SEMP TCL          ",191
"TELEVISOR SMART 32"" 32LK615 LG               ",192
"TELEVISOR 32"" KDL-32R305B SONY               ",193
AUTO RADIO DEH-S1180UB                       ,194
TABLET NB274 M7S PLUS 8GB AZUL               ,195
TABLET NB711 MS60 DOURADO/BRANCO MULTILASER  ,196
CELULAR RIU FLIP 2.4 DB BRANCO               ,197
CONJ.SC-AKX700LBK SOM 3X1 PANASONIC          ,198
ROTEADOR RE085 DUAL BAND 750MBPS 11AC        ,199
PEN DRIVE PD590 64GB TWIST PRETO             ,200
TABLET NB273 M7S PLUS 8GB PRETO              ,201
TABLET NB297 M7S LITE 8GB BRANCO             ,202
TABLET NB264 MS70 4G PRATA OCTA CORE         ,203
CAPINHA LG K11                               ,204
SMARTPHONE LG K11 PLUS DB AZUL               ,205
TABLET NB276 M7S 3G PLUS 8GB DOURADO         ,206
"TELEVISOR SMART 50"" 50UK6520 UHD 4K LG       ",207
CONJ.SC-AKX440LBK PANASONIC                  ,208
SMARTPHONE LG K12 PLUS PLATINUM              ,209
SMARTPHONE MOTOROLA MOTO ONE MACRO 64GB AZUL ,210
SMARTPHONE SAMSUNG GALAXY J810M  64GB VIOLETA,211
"TELEVISOR SMART 43"" 43LK5750PSA.BWZ LG       ",212
SMARTPHONE SAMSUNG GAL A50  A505 64GB BRANCO ,213
SMARTPHONE SAMSUNG GAL A51 128GB AZUL        ,214
MINI SYSTEM PH470BT  PHILCO                  ,215
MEGA DRIVE 22 JOGOS TECTOY                   ,216
CAIXA AMPLIFICADA MCO-09 MULTI CONNECT       ,217
TELEJOGO MOD XP 180                          ,218
"TELEVISOR SMART 49"" 4K 49UJ6565 LG           ",219
SMARTPHONE BLU ADVANCE 4.0 L3 A110L DB PRATA ,220
KIT AUTOMOTIVO AU 953 MP3+4 ALTO FALANTES    ,221
CELULAR BLU TANK II T193 DB PRETO AMARELO    ,222
BOX LINE OCM 3915 ONEAL                      ,223
MINI SYSTEM PH1700BT PHILCO                  ,224
SMARTPHONE MOTOROLA MOTO G7 PLUS XT1965-2 IND,225
SUPORTE UNIX UNI 100                         ,226
SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB POLAR,227
MINI SYSTEM MHC-GT3D SONY                    ,228
TABLET NB275 M7S 3G PLUS 8GB ROSE            ,229
RADIO CJ44 ABRALLK LG                        ,230
AUTO RADIO DVH7880                           ,231
SMARTPHONE MOTOROLA MOTO G8 64GB BRANCO      ,232
SMARTPHONE MOTOROLA MOTO G8 64GB BLUE        ,233
CONJ.SC-UA3LB-K PANASONIC                    ,234
"TELEVISOR SMART 43"" 4K 43UJ6565 LG           ",235
ROTEADOR RE184 1200MBPS AC DUAL              ,236
KIT CAPA E PELICULA LG K9TV                  ,237
RADIO PORTATIL MULTIBANDA TR849              ,238
SMARTPHONE MOTOROLA MOTO G7 POWER XT1955-1 AZ,239
SMARTPHONE SAMSUNG GAL J6 32GB PRETO         ,240
BOX LINE OCM 4010 DIAMOND PT ONEAL           ,241
PEN DRIVE 16GB PD688 TWIST ROSA MULTILASER   ,242
CAIXA ACUSTICA PHT3000 PHILCO                ,243
"TELEVISOR SMART 43"" UHD BT UN43RU7100 SAMSUNG",244
PEN DRIVE 8GB PD687 TWIST ROSA               ,245
AUTO RADIO MVH-98UB PIONEER                  ,246
CELULAR DL YC 130 DB PRETO                   ,247
SMARTPHONE SAMSUNG GAL A70  A705 128GB BRANCO,248
SMARTPHONE MOTOROLA MOTO G6 PLAY XT1922 DB OU,249
CELULAR RIU-I R200 DB BRANCO-ROSA            ,250
MINI SYSTEM MHC-M80D SONY                    ,251
BOX LINE OPB 5060-X BLUETOOTH ONEAL          ,252
CONJ.SC-AKX100LBK PANASONIC                  ,253
ROTEADOR RE058 150MBPS 1 ANT.4PTS.LAN        ,254
"TELEVISOR SMART 55"" 4K UN55NU7100 SAMSUNG    ",255
"TELEVISOR 32"" L1800 SEMP TCL                 ",256
"TELEVISOR SMART 43"" L43S4900FS SEMP TCL      ",257
CARTAO DE MEMORIA 128MB MICRO SD             ,258
RADIO AE1500X/78 PHILIPS                     ,259
MINI SYSTEM MHC-M60D SONY                    ,260
TABLET NB186 M7S QUAD CORE ROSA              ,261
RADIO CK43.ABRALLK X BOOM LG                 ,262
PEN DRIVE SONY RETRATIL USM32GR 32GB         ,263
TABLET NB305 M7 3G PLUS QUAD CORE ROSA       ,264
BOX LINE OCM 3910 ONEAL                      ,265
SMARTPHONE MOTOROLA MOTO G6 XT1925-3 INDIGO  ,266
"TELEVISOR SMART 32"" KDL-32W655D SONY         ",267
SMARTPHONE SAMSUNG GAL A7 64GB PRETO         ,268
PULSO ACO PULSEIRA ACO QZ 2315ABH/1Y TECHNOS ,269
AUDIO PB 122 BTL (LILAS) PHILCO              ,270
SMARTPHONE SAMSUNG GAL J6 64GB PRETO         ,271
"TELEVISOR SMART 32"" TC32ES600 PANASONIC      ",272
AUDIO PB500 BT PHILCO                        ,273
SMARTOGO WI 317 PACK ECO.CABO MICRO USB C/NYL,274
"TELEVISOR SMART 49"" 49LJ5550 LG              ",275
BOX LINE OCM 3912 ONEAL                      ,276
PULSO PLAST PULSEIRA PLAST DIGIT MOY1587/8V  ,277
"TELEVISOR SMART 50"" 4K UN50NU7100 SAMSUNG    ",278
SMARTPHONE SAMSUNG GAL A50 A505 128GB AZUL   ,279
"TELEVISOR SMART 55"" 55P65US 4K SEMP TCL      ",280
SMARTOGO CB108 PACK ECO.CARREGADOR DE PAREDE ,281
RADIO AUTOMOTIVO P3321 BLUETOOTH MULTILASER  ,282
TABLET NB230 MINI MS60 QUAD.CORE PTO         ,283
"TELEVISOR SMART 55"" 4K QN55Q60RAGXZD         ",284
PULSO PLAST PULSEIRA PLAST DIGITAL FZU/8L MOR,285
PULSO PLAST PULSEIRA PLAST DIGIT MO3900A/8C  ,286
PULSO ACO PULSEIRA ACO QZ 2115LAK/1P TECHNOS ,287
"TELEVISOR SMART 32"" L2800 SEMP TCL           ",288
"TELEVISOR SMART 49"" TC49FS630B PANASONIC     ",289
CELULAR DL YC 230 FLIP DB AMARELO            ,290
PULSO DR PULSEIRA DR QZ 2315ACD/4N TECHNOS   ,291
CONJ.SC-MAX9000 L PANASONIC                  ,292
"TELEVISOR SMART 65"" UHD BT UN65RU7100 SAMSUNG",293
SMARTPHONE SAMSUNG GAL A50  A505 64GB AZUL   ,294
MINI SYSTEM PH600BT PHILCO                   ,295
PULSO ACO PULSEIRA ACO QZ 2115KSW/1A TECHNOS ,296
SMARTPHONE SAMSUNG GAL J6 64GB PRATA         ,297
"TELEVISOR SMART 43"" TC43SV700 PANASONIC      ",298
RADIO AUTOMOTIVO P3326 NEW MAX C/BLUT        ,299
PULSO DR PULSEIRA DR QZ 2035MEK/4X TECHNOS   ,300
RADIO CJ98 ABRALLK LG                        ,301
SMARTPHONE SAMSUNG GAL A71 128GB AZUL        ,302
"TELEVISOR SMART 55"" 4K QN55Q6FNA SAMSUNG     ",303
CASE E SUP.BO197 C  ALCA P TABLET PT ATE 7 po,304
"TELEVISOR SMART 65"" 4K UN65NU7100 SAMSUNG    ",305
PULSO ACO PULSEIRA ACO QZ TECHNOS 2117LAH/1B ,306
TABLET NB232 MINI MS 55 PRETO                ,307
"TELEVISOR SMART 75"" UHD BT UN75RU7100 SAMSUNG",308
SMARTPHONE SAMSUNG GAL J7 PRO J730 DB DR     ,309
CELULAR DL YC230 FLIP DB PRETO/LARANJA       ,310
PULSO DR PULSEIRA DR QZ 2035MFN/4A TECHNOS   ,311
PULSO PLAST PULSEIRA PLAST DIGIT MO1001AN/8D ,312
